iter	Passed	Remaining
0	0	61
1	1	58
2	1	57
3	2	62
4	3	73
5	5	79
6	5	77
7	6	77
8	7	78
9	8	78
10	9	78
11	10	77
12	11	77
13	12	76
14	13	75
15	14	74
16	15	73
17	15	71
18	16	70
19	17	70
20	18	69
21	19	68
22	20	67
23	20	66
24	21	65
25	22	63
26	23	62
27	23	61
28	24	60
29	25	59
30	26	57
31	26	56
32	27	55
33	27	54
34	28	53
35	29	52
36	29	50
37	30	49
38	31	48
39	31	47
40	32	46
41	32	44
42	33	43
43	33	42
44	34	41
45	34	40
46	35	39
47	36	39
48	36	38
49	37	37
50	37	36
51	38	35
52	38	34
53	39	33
54	39	32
55	40	31
56	40	30
57	40	29
58	41	28
59	41	27
60	42	27
61	43	26
62	43	25
63	43	24
64	44	24
65	45	23
66	45	22
67	46	21
68	46	20
69	47	20
70	47	19
71	48	18
72	48	18
73	49	17
74	49	16
75	50	15
76	50	15
77	51	14
78	51	13
79	52	13
80	52	12
81	53	11
82	53	10
83	54	10
84	54	9
85	55	8
86	55	8
87	56	7
88	56	7
89	57	6
90	57	5
91	58	5
92	58	4
93	59	3
94	59	3
95	60	2
96	60	1
97	61	1
98	61	0
99	62	0
